current_run_id,institution_name,source_id,source_name,monitoring_mode,collector_capability,attempted_this_run,skipped_this_run,skip_reason,fetched_this_run,changed_this_run,candidate_links_this_run,detail_pages_this_run,error_this_run,historical_last_success,health_status,action_required
final_readiness_20260629T133423_idempotency_clean,Halkbank,REG-022,Halkbank Üye İşyeri Ucret ve Komisyonlari,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Kuveyt Türk,REG-023,Kuveyt Türk İşim İçin,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Kuveyt Türk,REG-024,Kuveyt Türk POS Hizmetleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Kuveyt Türk,REG-025,Kuveyt Türk KOBİ Kampanyaları,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,iyzico,REG-026,iyzico İşim İçin Ödeme Çözümleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,iyzico,REG-027,iyzico Basın,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,iyzico,REG-028,iyzico Blog,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,PayTR,REG-029,PayTR Blog,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,PayTR,REG-030,PayTR Link ile Ödeme,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Param,REG-031,Param Sanal POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Param,REG-032,Param Basın,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Sipay,REG-033,Sipay Link ile Ödeme,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Visa,REG-034,Visa Small Business / Visa & Main,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,Mastercard,REG-035,Mastercard Türkiye SME digitalization article,benchmark_monitoring,browser_required,False,True,browser_required_or_blocked,False,False,,,,,Atlanmış,
final_readiness_20260629T133423_idempotency_clean,Mastercard,REG-036,Mastercard EEMEA Press Releases,blocked_source_watch,browser_required,False,True,browser_required_or_blocked,False,False,,,,,Erişim Engelli,Manuel resmi kanıt + recovery watch ile izleniyor.
final_readiness_20260629T133423_idempotency_clean,BKM,REG-037,BKM Ödeme Çözümleri / TechPOS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,BKM,REG-038,BKM TROY,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,TROY,REG-039,TROY,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Stripe,REG-040,Stripe Gömülü Finans,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Stripe,REG-041,Stripe Newsroom,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Stripe,REG-042,Stripe Embedded payments for small businesses,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
