institution,source_id,source_name,monitoring_mode,collector_capability,attempted,skipped,success,latest_item_date,current_candidates,unchanged,error,health_status,action_required
Türk Ticaret Bankası,REG-196,Türk Ticaret Bankası Teminat Mektupları,,static_scrape,True,False,True,2026-06-26T11:08:50.074962+00:00,,False,,Sağlıklı,
Türk Ticaret Bankası,REG-197,Türk Ticaret Bankası Şubeler,,static_scrape,True,False,True,2026-06-26T11:08:50.267638+00:00,,False,,Sağlıklı,
TurkishBank,REG-198,TurkishBank Ticari / Kurumsal Bankacılık,,static_scrape,True,False,True,2026-06-26T11:08:28.831812+00:00,,False,,Sağlıklı,
Türk Ticaret Bankası,REG-199,Türk Ticaret Bankası Ürün ve Hizmet Ücretleri,,static_scrape,True,False,True,2026-06-26T11:08:50.487036+00:00,,False,,Sağlıklı,
Mastercard,REG-200,Mastercard Global Newsroom,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
Mastercard,REG-222,Mastercard Digital Assets / Multi-Rail News,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
Mastercard,REG-202,Mastercard Türkiye Official Site,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
Mastercard,REG-203,Mastercard Business Overview,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-204,Mastercard Commercial Cards,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-205,Mastercard Small Business Solutions,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-206,Mastercard Virtual Cards,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-207,Mastercard Accounts Payable,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-208,Mastercard Accounts Receivable,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-209,Mastercard Cross-Border Services,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-211,Mastercard Click to Pay / Merchant Acceptance,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
Mastercard,REG-216,Mastercard Agentic Commerce Advisory,benchmark_monitoring,static_scrape,False,True,True,2026-06-26T12:18:25.294242+00:00,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-219,Mastercard Cybersecurity Services,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-220,Mastercard Open Finance Advisory,benchmark_monitoring,browser_required,False,True,False,,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-221,Mastercard Data and Analytics for Financial Institutions,benchmark_monitoring,static_scrape,False,True,True,2026-06-26T12:18:25.466949+00:00,,False,,Benchmark İzleme,Benchmark/context only; recent item üretmez.
Mastercard,REG-223,Mastercard Global Press,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
Mastercard,REG-224,Mastercard Commercial Payments News,blocked_source_watch,browser_required,False,True,False,,,False,,Erişim Engelli,Mastercard için manuel resmî kanıt + periyodik recovery.
